1329,0,2,281
1331,0,1,254
1332,0,3,217
1334,-3,3,184
1335,0,4,149
1337,0,2,118
1339,2,3,87
1340,0,4,64
1342,1,4,42
1343,0,3,21
1345,0,6,8
1346,2,3,-3
1348,2,5,-10
1349,3,6,-14
1351,4,6,-15
1352,2,7,-10
1354,3,3,0
1356,0,3,11
1357,0,3,30
1359,0,5,53
1360,0,2,81
1362,0,4,108
1363,-2,2,148
1366,0,2,185
1368,0,4,222
1369,0,5,256
1371,-2,4,285
1372,0,4,305
1374,0,3,316
1376,0,4,316
1377,0,3,304
1379,1,2,284
1380,0,4,256
1382,0,7,223
1383,0,6,189
1385,0,3,153
1387,0,1,122
1388,0,3,86
1390,0,5,59
1391,0,4,41
1393,1,3,26
1394,1,8,11
1396,0,5,0
1398,1,4,-10
1399,2,3,-12
1401,1,6,-14
1402,3,3,-10
1404,2,3,-4
1405,0,6,13
1408,0,4,28
1409,0,4,50
1411,0,6,76
1412,0,4,111
1414,1,3,142
1416,1,4,183
1417,0,1,217
1419,0,3,252
1420,0,2,280
1422,-2,2,306
1424,0,0,320
1425,0,5,319
1427,-2,3,304
1428,0,2,288
1430,0,4,256
1432,0,3,227
1433,0,0,186
1435,1,3,151
1436,0,2,119
1438,0,1,89
1440,0,3,63
1441,1,4,41
1443,0,1,23
1444,1,4,11
1446,1,4,0
1447,1,5,-9
1449,0,4,-14
1451,0,7,-14
1453,1,4,-12
1454,0,8,-4
1456,-2,3,9
1457,1,5,28
1459,0,4,48
1460,0,3,75
1462,1,3,100
1464,0,5,137
1465,0,2,178
1467,0,5,212
1468,0,4,247
1470,0,3,280
1472,0,4,301
1473,0,0,316
1475,0,4,316
1476,0,4,308
1478,-2,4,289
1480,0,2,263
1481,0,2,233
1483,0,1,191
1484,0,2,156
1486,0,3,123
1488,0,3,92
1489,0,4,66
1491,0,6,44
1492,0,8,27
1495,2,5,11
1496,1,5,0
1498,1,6,-8
1499,0,5,-13
1501,1,7,-11
1502,1,6,-12
1504,1,4,-2
1505,0,3,6
1507,0,6,22
1508,0,1,44
1510,0,3,68
1512,0,3,98
1513,-2,2,132
1515,0,2,169
1516,0,3,207
1518,0,5,246
1519,0,3,271
1521,0,0,298
1523,0,5,315
1524,0,4,319
1526,-4,3,309
1527,0,2,293
1529,0,2,266
1531,0,1,236
1532,0,4,203
1534,0,3,160
1536,0,7,126
1538,-2,5,100
1540,1,0,67
1541,0,6,51
1543,0,3,29
1544,2,3,14
1546,1,6,0
1547,0,6,-7
1549,2,4,-13
1550,0,6,-12
1552,1,4,-12
1554,3,3,-7
1555,2,4,3
1557,0,3,21
1558,1,3,40
1560,0,4,64
1561,1,4,96
1563,1,3,129
1564,-2,4,166
1566,0,5,199
1568,0,2,234
1569,0,0,268
1571,0,2,298
1572,0,2,315
1574,0,1,320
1576,0,1,315
1577,2,0,296
1580,0,4,270
1581,0,3,243
1583,0,3,205
1585,0,1,164
1586,0,2,132
1588,0,3,100
1589,-2,4,73
1591,0,3,51
1592,1,8,33
1594,2,3,14
1595,0,6,2
1597,2,5,-8
1598,1,4,-10
1600,0,4,-12
1602,2,5,-13
1603,0,7,-2
1605,1,4,2
1606,0,2,17
1608,0,6,33
1609,1,3,63
1611,-2,4,91
1612,0,5,124
1614,0,2,160
1616,0,2,197
1617,0,2,233
1619,1,2,274
1620,0,5,296
1623,0,2,313
1625,0,2,318
1626,0,0,313
1628,0,1,299
1629,0,4,273
1631,1,0,245
1633,0,2,206
1634,0,4,169
1636,0,3,137
1637,0,3,104
1639,0,3,77
1640,1,4,51
1642,3,2,34
1644,0,6,18
1645,0,2,6
1647,0,6,-6
1648,2,3,-12
1650,1,7,-15
1651,0,5,-14
1653,1,7,-8
1654,0,4,0
1656,0,6,14
1657,1,4,33
1659,0,3,57
1660,2,5,85
1662,0,6,121
1664,0,1,154
1666,0,4,193
1668,0,4,224
1669,0,3,263
1671,0,4,292
1672,0,1,312
1674,0,2,318
1676,0,3,314
1677,0,3,301
1679,0,2,277
1680,0,4,251
1682,0,3,217
1684,-4,2,174
1685,0,2,140
1687,0,3,108
1688,-3,4,79
1690,0,2,54
1692,0,3,37
1693,0,4,17
1695,1,4,4
1696,0,5,-4
1698,1,6,-8
1699,0,7,-14
1701,1,3,-12
1702,1,7,-8
1704,1,5,0
1705,0,7,15
1708,0,4,29
1709,2,3,56
1711,0,6,80
1712,-2,3,118
1714,0,5,149
1716,1,3,190
1717,0,4,221
1719,0,3,256
1720,0,0,286
1722,0,4,308
1724,0,4,319
1725,0,0,315
1727,2,0,304
1728,-3,5,281
1730,2,3,252
1732,1,2,224
1733,0,4,186
1735,0,1,144
1736,0,3,113
1738,0,2,82
1740,0,1,60
1741,3,3,39
1743,3,4,21
1744,1,4,6
1746,0,5,-2
1747,0,5,-12
1750,0,4,-13
1751,2,4,-14
1753,1,3,-8
1754,0,7,0
1756,2,4,9
1757,0,6,28
1759,1,3,51
1760,0,2,79
1762,0,4,110
1764,0,4,146
1765,0,4,180
1767,0,3,220
1768,0,3,255
1770,0,1,281
1772,0,4,303
1773,0,3,316
1775,0,2,315
1776,0,2,306
1778,0,2,283
1780,-2,2,256
1781,0,3,226
1783,0,2,193
1784,0,2,149
1786,0,2,119
1788,0,4,88
1789,0,3,62
1792,0,3,40
1793,0,3,23
1795,0,5,6
1796,1,6,-2
1798,3,5,-7
1799,2,3,-15
1801,2,4,-12
1802,0,5,-9
1804,3,3,-4
1805,0,4,9
1807,1,3,27
1808,0,3,47
1810,0,4,74
1812,0,4,99
1813,0,2,135
1815,0,2,179
1816,0,6,215
1818,0,2,247
1819,0,3,279
1821,2,4,300
1823,0,3,311
1824,0,4,318
1826,-2,2,308
1827,0,2,288
1829,0,4,259
1831,-2,4,229
1832,0,3,195
1835,0,3,161
1836,0,3,128
1838,0,1,96
1840,1,0,68
1841,0,5,45
1843,1,7,28
1844,0,3,13
1846,1,5,0
1847,2,2,-6
1849,1,6,-9
1850,0,6,-13
1852,2,5,-11
1853,0,4,-4
1855,0,3,7
1856,0,4,20
1858,1,3,39
1859,0,4,64
1861,0,4,95
1863,0,3,128
1864,0,3,164
1866,0,3,199
1867,0,5,246
1869,0,1,272
1871,1,3,297
1872,-2,4,315
1874,-2,1,318
1875,0,3,313
1878,0,2,295
1880,0,0,271
1881,0,4,233
1883,0,5,203
1884,0,3,168
1886,0,4,135
1888,0,3,98
1889,0,2,76
1891,1,3,50
1892,3,4,32
1894,1,3,15
1895,0,6,0
1897,2,4,-7
1898,1,4,-11
1900,0,7,-15
1901,0,3,-11
1903,0,5,-2
1904,0,7,4
1906,0,6,16
1907,1,4,34
1909,1,6,63
1911,1,2,92
1912,0,1,123
1914,0,5,160
1915,-2,3,195
1917,0,0,232
1918,0,3,271
1921,0,5,296
1923,0,2,312
1924,-2,2,318
1926,0,1,316
1927,0,3,298
1929,1,2,274
1931,-3,5,239
1932,0,5,207
1934,0,3,172
1935,0,4,135
1937,0,5,106
1939,0,2,77
1940,0,4,52
1942,1,2,35
1943,0,2,17
1945,1,3,4
1946,2,6,-6
1948,1,4,-10
1949,1,7,-12
1951,1,6,-13
1953,2,7,-9
1954,0,3,4
1956,1,4,15
1957,0,5,33
1959,1,2,59
1960,0,3,89
1963,0,1,120
1964,0,3,153
1966,0,2,192
1967,0,3,228
1969,0,3,267
1971,0,2,292
1972,0,1,309
1974,0,2,317
1975,1,1,315
1977,-2,4,304
1979,0,2,279
1980,0,2,243
1982,0,3,208
1983,0,3,178
1985,0,4,143
1987,0,4,108
1988,0,5,80
1990,0,3,57
1991,2,4,35
1993,0,4,19
1994,0,3,3
1996,2,2,-5
1997,2,4,-10
1999,2,5,-15
2001,1,6,-15
2002,1,4,-5
2004,1,5,0
2006,0,5,12
2008,0,5,31
2009,2,1,54
2011,0,4,84
2012,0,5,115
2014,0,7,149
2015,1,1,186
2017,0,3,223
2019,0,4,262
2020,0,3,288
2022,0,2,308
2023,0,3,317
2025,3,1,316
2027,0,3,304
2028,0,1,282
2030,0,4,254
2031,-2,3,216
2033,0,5,181
2035,0,3,147
2036,0,2,114
2038,0,4,85
2039,1,0,60
2041,0,4,37
2042,1,3,21
2044,0,4,7
2045,1,5,-6
2048,0,3,-9
2049,0,6,-12
2051,1,3,-13
2053,0,5,-13
2054,1,4,0
2056,0,4,13
2057,0,3,32
2059,2,5,48
2060,0,6,76
2062,1,5,110
2063,0,4,143
2065,0,4,182
2067,0,3,217
2068,0,4,260
2070,0,5,288
2071,0,1,306
2073,0,4,316
2075,0,1,320
2076,3,0,305
2078,0,1,288
2079,0,2,253
2081,2,1,221
2083,0,3,185
2084,0,2,147
2086,0,6,115
2087,0,6,87
2089,0,3,64
2091,0,3,43
2093,3,2,21
2095,0,6,8
2096,1,5,-3
2098,0,5,-9
2099,1,6,-12
2101,0,4,-14
2102,1,4,-14
2104,0,5,0
2105,0,3,9
2107,0,7,27
2108,0,5,49
2110,0,4,73
2111,0,4,105
2113,0,3,140
2115,0,2,176
2116,0,1,214
2118,0,3,250
2119,0,0,285
2121,2,1,303
2123,0,4,317
2124,0,5,317
2126,-4,3,309
2127,-2,1,290
2129,0,3,264
2131,0,1,224
2132,0,2,191
2135,0,0,154
2136,0,3,122
2138,0,8,94
2140,0,3,64
2141,0,3,42
2143,0,4,25
2144,0,4,12
2146,0,6,0
2147,2,4,-8
2149,3,5,-12
2150,1,6,-13
2152,3,7,-12
2153,1,7,-4
2155,0,5,8
2156,0,5,22
2158,0,5,46
2159,0,2,71
2161,0,4,100
2163,0,5,134
2164,-2,6,175
2166,0,2,210
2167,0,2,244
2169,0,4,280
2171,0,2,302
2172,1,4,316
2174,0,1,317
2176,-2,4,312
2178,0,3,294
2180,1,3,268
2181,0,3,227
2183,0,2,194
2184,0,2,160
2186,0,2,127
2188,0,4,96
2189,0,3,70
2191,1,4,45
2192,1,4,28
2194,2,4,14
2195,1,5,0
2197,1,4,-10
2198,0,7,-10
2200,0,4,-13
2201,0,7,-11
2203,0,4,-3
2204,0,5,10
2206,0,6,19
2208,2,4,45
2209,0,3,66
2211,0,5,96
2212,0,2,132
2214,0,3,166
2215,0,2,209
2217,0,2,245
2220,0,4,278
2221,0,2,300
2223,0,4,315
2224,0,0,318
2226,0,2,313
2228,0,1,288
2229,0,2,263
2231,0,5,232
2232,0,2,199
2234,0,3,163
2236,0,3,130
2237,1,3,99
2239,0,3,74
2240,0,3,50
2242,1,4,30
2243,0,6,14
2245,1,3,3
2246,1,4,-8
2248,3,5,-12
2249,0,5,-14
2251,4,5,-10
2253,2,5,-4
2254,3,4,5
2256,2,5,17
2257,0,5,39
2259,0,3,63
2260,0,3,91
2263,0,3,128
2264,0,4,162
2266,0,3,200
2268,2,3,240
2269,0,2,273
2271,0,0,297
2272,0,0,316
2274,0,2,318
2276,0,1,313
2277,0,3,298
2279,0,0,275
2280,1,0,238
2282,0,3,202
2284,0,5,169
2285,0,1,134
2287,0,4,103
2288,0,2,78
2290,2,5,54
2291,2,4,32
2293,0,5,16
2294,2,5,5
2296,0,4,-5
2297,0,6,-13
2299,0,6,-15
2301,0,5,-9
2302,0,5,-9
2305,1,5,3
2306,0,3,17
2308,1,5,35
2309,0,4,58
2311,0,4,88
2312,0,5,121
2314,1,0,158
2315,1,3,193
2317,0,1,233
2319,0,3,262
2320,2,1,293
2322,2,1,312
2323,2,2,318
2325,0,3,315
2327,1,4,298
2328,0,1,279
2330,0,1,250
2331,0,3,207
2333,0,3,173
2335,1,2,137
2336,0,3,108
2338,0,4,79
2339,0,3,54
2341,2,3,33
2342,0,3,22
2344,1,7,2
2345,2,4,-6
2348,1,3,-11
2350,3,3,-12
2351,2,6,-13
2353,1,5,-8
2354,2,3,0
2356,0,5,12
2357,1,5,32
2359,0,5,55
2360,0,4,84
2362,0,5,118
2363,0,4,151
2365,0,2,191
2367,1,5,227
2368,0,4,260
2370,0,3,292
2371,0,3,313
2373,0,2,319
2375,-2,3,315
2376,0,3,303
2378,2,2,281
2379,0,1,252
2381,0,2,211
2383,1,2,176
2384,0,4,145
2386,0,1,109
2387,0,3,83
2390,2,2,60
2392,0,6,37
2393,0,6,19
2395,2,5,6
2396,3,5,-6
2398,1,4,-10
2399,2,5,-9
2401,1,5,-14
2402,1,2,-12
2404,0,4,0
2405,0,4,14
2407,1,5,30
2408,0,5,53
2410,2,2,80
2411,-1,5,112
2413,1,2,147
2415,0,4,184
2416,0,7,220
2418,0,2,259
2419,-2,4,289
2421,0,4,305
2423,0,3,317
2424,0,3,314
2426,0,1,304
2427,0,2,287
2429,0,2,258
2432,0,2,221
2433,2,0,179
2435,1,3,147
2436,0,3,118
2438,0,3,84
2440,0,6,62
2441,2,5,38
2443,0,6,20
2444,0,6,5
2446,3,3,0
2447,1,3,-8
2449,2,4,-14
2450,2,6,-16
2452,0,4,-5
2453,0,7,-2
2455,0,4,10
2456,0,4,28
2458,0,3,50
2459,0,6,78
2461,0,5,108
2463,0,4,142
2464,0,3,179
2466,0,1,215
2467,0,2,252
2469,0,2,283
2471,0,1,307
2472,0,5,316
2475,0,4,319
2476,0,3,305
2478,1,3,287
2480,-2,4,261
