,3,153
1607,0,6,124
1608,0,3,113
1610,0,2,103
1611,1,4,96
1613,0,4,90
1615,0,3,86
1616,0,3,85
1618,0,5,84
1619,0,6,80
1622,1,1,81
1623,0,6,88
1625,0,5,94
1626,0,4,97
1628,0,6,107
1629,0,6,120
1631,0,4,128
1633,0,5,139
1634,1,1,151
1636,0,8,160
1637,0,6,166
1639,0,3,175
1641,0,4,180
1642,0,2,184
1644,1,3,184
1645,-2,4,181
1647,0,3,177
1649,0,3,170
1650,0,3,161
1652,0,3,151
1653,0,1,144
1655,1,2,131
1657,-3,5,123
1658,0,2,109
1660,0,2,104
1661,1,5,96
1664,0,3,94
1666,0,4,92
1667,0,3,83
1669,0,4,81
1670,0,6,83
1672,0,5,87
1673,0,4,87
1675,0,5,95
1676,0,4,100
1678,0,6,111
1680,0,4,121
1681,1,3,129
1683,3,5,139
1684,1,3,147
1686,0,2,159
1688,0,4,169
1689,0,2,176
1691,1,3,182
1692,0,5,181
1694,1,1,182
1695,0,0,181
1697,0,4,174
1699,0,4,173
1700,0,2,160
1702,0,3,155
1703,0,3,142
1705,0,4,131
1708,0,3,121
1709,0,4,110
1711,0,4,98
1712,0,5,96
1714,1,4,90
1715,0,2,87
1717,0,6,83
1719,0,4,79
1720,0,4,81
1722,1,2,84
1723,1,4,88
1725,0,4,93
1726,1,2,101
1728,0,2,110
1729,0,1,119
1731,0,4,131
1733,1,4,139
1734,0,2,153
1736,0,3,158
1737,0,3,170
1739,0,5,178
1741,0,0,180
1742,0,3,187
1744,0,5,185
1745,0,4,182
1747,2,4,172
1750,2,5,164
1751,2,2,160
1753,0,6,148
1754,0,5,139
1756,0,4,127
1758,0,4,118
1759,1,5,106
1761,1,4,100
1762,0,5,93
1764,0,4,90
1766,1,5,84
1767,0,3,81
1769,2,2,81
1770,0,4,83
1772,0,2,84
1773,0,4,91
1775,0,6,98
1776,0,3,103
1778,1,2,112
1780,0,4,121
1781,0,5,132
1783,0,3,145
1784,0,2,153
1786,0,7,162
1787,0,3,169
1789,0,5,174
1792,0,7,179
1793,1,3,183
1795,0,3,182
1796,0,4,178
1798,0,3,176
1800,0,2,167
1801,0,1,158
1803,0,5,148
1804,0,5,138
